,,U. maydis Δcyp3 ΔMEL ΔUA ΔDGAT ria1 Δfuz7 mttA_K3,U. maydis Δcyp3 ΔMEL ΔUA ΔDGAT ria1 Δfuz7 mttA_K3,U. maydis Δcyp3 ΔMEL ΔUA ΔDGAT ria1 Δfuz7 mttA_K3,U. maydis Δcyp3 ΔMEL ΔUA ΔDGAT ria1 Δfuz7 mttA_K8,U. maydis Δcyp3 ΔMEL ΔUA ΔDGAT ria1 Δfuz7 mttA_K8,U. maydis Δcyp3 ΔMEL ΔUA ΔDGAT ria1 Δfuz7 mttA_K8,U. maydis Δcyp3 ΔMEL ΔUA ΔDGAT ria1 Δfuz7 mttA_K9,U. maydis Δcyp3 ΔMEL ΔUA ΔDGAT ria1 Δfuz7 mttA_K9,U. maydis Δcyp3 ΔMEL ΔUA ΔDGAT ria1 Δfuz7 mttA_K9,U. maydis Δcyp3 ΔMEL ΔUA ΔDGAT ria1 Δfuz7 mttA_K10,U. maydis Δcyp3 ΔMEL ΔUA ΔDGAT ria1 Δfuz7 mttA_K10,U. maydis Δcyp3 ΔMEL ΔUA ΔDGAT ria1 Δfuz7 mttA_K10,U. maydis Δcyp3 ΔMEL ΔUA ΔDGAT ria1 Δfuz7 mttA_K14,U. maydis Δcyp3 ΔMEL ΔUA ΔDGAT ria1 Δfuz7 mttA_K14,U. maydis Δcyp3 ΔMEL ΔUA ΔDGAT ria1 Δfuz7 mttA_K14,U. maydis Δcyp3 ΔMEL ΔUA ΔDGAT ria1 Δfuz7,U. maydis Δcyp3 ΔMEL ΔUA ΔDGAT ria1 Δfuz7,U. maydis Δcyp3 ΔMEL ΔUA ΔDGAT ria1 Δfuz7
0,,110.7499,115.7674,113.8973,110.7499,115.7674,113.8973,110.7499,115.7674,113.8973,110.7499,115.7674,113.8973,110.7499,115.7674,113.8973,110.7499,115.7674,113.8973
24,,104.9792,109.3342,104.9839,98.69202,101.8946,95.92722,102.0024,101.0023,101.8222,98.05554,100.2179,101.0147,103.8686,104.2279,109.237,99.3582,108.8381,
48,,93.15,93.2409,90.81288,75.3669,,72.91026,79.54002,79.93422,78.48252,72.5922,76.26744,73.62702,82.4157,77.64822,82.10916,74.25252,72.4329,77.01876
72,,78.60726,78.81696,76.04604,49.31586,49.92696,46.01772,63.0504,60.17724,61.45002,49.70142,48.25674,48.93822,59.93838,61.45326,62.4348,61.12746,61.45632,59.06646
96,,66.40902,63.42102,66.17772,24.6825,24.34032,24.8697,40.13658,43.36254,44.12088,26.11764,26.31114,16.61634,42.12612,42.84054,43.47504,34.47846,33.24006,33.36066
117,,56.19114,55.64286,53.99118,2.41128,3.21876,2.54286,23.7582,28.3104,28.96506,2.385,3.62646,1.80702,18.77472,19.79496,18.22734,,12.28356,10.86696
