WellID,Name,BiGG,Growth,GSMM,PM-GSMM
A1,Negative control,,False,0.0,3
A2,L-arabinose,arab__L,True,1.01,4
A3,N-acetyl-D-glucosamine,acgam,True,1.47,4
A4,D-saccharic acid,,False,0.0,3
A5,Succinic acid,succ,True,0.51,4
A6,D-galactose,gal_bD,True,1.01,4
A7,L-aspartic acid,asp__L,False,0.0,3
A8,L-proline,pro__L,True,0.43,4
A9,D-alanine,ala_B,True,0.11,4
A10,D-trehalose,tre,True,2.03,4
A11,D-mannose,man,True,0.0,2
A12,Dulcitol,galt,False,0.0,3
B1,D-serine,ser__D,False,0.0,3
B2,D-sorbitol,sbt__D,False,0.0,3
B3,Glycerol,glyc,True,0.51,4
B4,L-fucose,fuc__L,True,,0
B5,D-glucoronic acid,,False,0.0,3
B6,D-gluconic acid,glcn,True,1.01,4
B7,D.L-a-glycerol-phosphate,glyc3p,False,0.0,3
B8,D-xylose,xyl__D,True,1.01,4
B9,L-lactic acid,lac__L,True,0.36,4
B10,Formic acid,for,False,0.0,3
B11,D-mannitol,mnl,True,1.01,4
B12,L-glutamic acid,glu__L,True,0.43,4
C1,D-glucose-6-phosphate,g6p,False,0.0,3
C2,D-galactonic acid-gammalactone,,False,0.0,3
C3,D-L-malic acid,mal__L,False,0.0,3
C4,D-ribose,rib__D,True,0.52,4
C5,Tween 20,,False,0.0,3
C6,L-rhamnose,rmn,True,,0
C7,D-fructose,fru,True,1.01,4
C8,Acetic acid,ac,False,0.0,3
C9,a-D-glucose,glc_A,True,,0
C10,Maltose,malt,True,2.03,4
C11,D-melibiose,melib,False,0.0,3
C12,Thymidine,thymd,False,0.0,3
D1,L-asparagine,asn__L,True,0.0,2
D2,D-aspartic acid,asp__D,False,0.0,3
D3,D-glucosaminic acid,,False,0.0,3
D4,1.2.-Propanediol,12ppd__R,False,0.0,3
D5,Tween 40,,False,0.0,3
D6,A-Keto-glutaric acid,akg,True,0.53,4
D7,a-Keto-butyric acid,2obut,False,0.0,3
D8,a-methyl-D-galactoside,,False,0.0,3
D9,a-D-lactose,lcts,True,,0
D10,Lactulose,,True,,0
D11,Sucrose,sucr,True,2.03,4
D12,Uridine,uri,False,0.0,3
E1,L-glutamine,gln__L,True,0.28,4
E2,M-tartaric acid,tartr__M,False,0.0,3
E3,D-Glucose-1-phosphate,g1p,False,0.0,3
E4,D-fructose-6-phosphate,f6p__D,False,0.0,3
E5,Tween 80,,False,0.0,3
